,0,1,2,3,4,5,6,7,8,9
0,0.00,2.96,2.74,2.42,1.56,1.30,1.26,2.46,1.40,1.96
1,2.96,0.00,0.79,1.24,1.44,1.75,2.04,0.50,2.12,1.81
2,2.74,0.79,0.00,1.76,1.20,1.44,1.59,0.69,1.60,2.16
3,2.42,1.24,1.76,0.00,1.39,1.65,2.05,1.07,2.23,0.66
4,1.56,1.44,1.20,1.39,0.00,0.32,0.69,0.93,0.85,1.40
5,1.30,1.75,1.44,1.65,0.32,0.00,0.40,1.25,0.60,1.55
6,1.26,2.04,1.59,2.05,0.69,0.40,0.00,1.56,0.22,1.94
7,2.46,0.50,0.69,1.07,0.93,1.25,1.56,0.00,1.65,1.50
8,1.40,2.12,1.60,2.23,0.85,0.60,0.22,1.65,0.00,2.15
9,1.96,1.81,2.16,0.66,1.40,1.55,1.94,1.50,2.15,0.00
