,0,1,2,3,4,5,6,7,8,9
0,0.88,3.67,4.16,5.92,1.57,1.59,3.60,5.02,1.68,3.78
1,6.89,0.52,1.14,1.52,2.01,10.24,4.94,0.98,5.13,2.27
2,5.32,8.58,3.19,2.40,1.60,2.59,1.61,1.47,4.51,2.19
3,4.35,2.42,1.94,1.16,2.48,5.57,12.32,1.14,5.15,1.85
4,3.91,3.09,2.95,1.42,0.62,1.22,2.90,2.56,1.25,6.63
5,6.48,5.48,2.12,3.10,1.22,0.94,0.71,1.97,0.69,2.65
6,2.99,3.84,3.70,2.36,3.90,4.73,2.13,2.72,3.35,2.23
7,2.81,1.12,1.04,6.69,10.43,2.82,5.68,0.56,1.88,2.41
8,3.07,2.33,2.51,14.12,2.05,1.50,3.58,4.48,0.64,3.56
9,2.86,2.58,2.51,1.34,3.18,3.71,2.52,3.56,2.58,2.81
