,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.00,2.96,2.74,2.42,1.56,1.30,1.26,2.46,1.40,1.96,3.58,1.91,2.02,2.68,1.45,2.66,1.10,2.62,3.57,1.62
1,2.96,0.00,0.79,1.24,1.44,1.75,2.04,0.50,2.12,1.81,1.85,1.52,1.53,1.67,1.51,1.51,2.19,0.45,1.44,2.69
2,2.74,0.79,0.00,1.76,1.20,1.44,1.59,0.69,1.60,2.16,1.21,1.83,0.90,0.88,1.39,2.10,1.76,1.00,2.21,2.92
3,2.42,1.24,1.76,0.00,1.39,1.65,2.05,1.07,2.23,0.66,2.96,0.52,2.01,2.48,1.25,0.37,2.12,0.81,1.15,1.59
4,1.56,1.44,1.20,1.39,0.00,0.32,0.69,0.93,0.85,1.40,2.22,1.10,0.78,1.44,0.24,1.75,0.80,1.18,2.38,1.89
5,1.30,1.75,1.44,1.65,0.32,0.00,0.40,1.25,0.60,1.55,2.35,1.29,0.82,1.51,0.40,2.00,0.48,1.50,2.69,1.89
6,1.26,2.04,1.59,2.05,0.69,0.40,0.00,1.56,0.22,1.94,2.32,1.69,0.78,1.42,0.80,2.40,0.17,1.84,3.07,2.19
7,2.46,0.50,0.69,1.07,0.93,1.25,1.56,0.00,1.65,1.50,1.90,1.18,1.15,1.47,1.01,1.41,1.70,0.36,1.67,2.32
8,1.40,2.12,1.60,2.23,0.85,0.60,0.22,1.65,0.00,2.15,2.21,1.89,0.72,1.31,1.00,2.59,0.31,1.96,3.22,2.41
9,1.96,1.81,2.16,0.66,1.40,1.55,1.94,1.50,2.15,0.00,3.36,0.33,2.15,2.74,1.18,0.74,1.96,1.36,1.73,0.93
10,3.58,1.85,1.21,2.96,2.22,2.35,2.32,1.90,2.21,3.36,0.00,3.03,1.56,0.91,2.45,3.30,2.48,2.18,3.26,4.07
11,1.91,1.52,1.83,0.52,1.10,1.29,1.69,1.18,1.89,0.33,3.03,0.00,1.83,2.41,0.90,0.77,1.73,1.07,1.67,1.17
12,2.02,1.53,0.90,2.01,0.78,0.82,0.78,1.15,0.72,2.15,1.56,1.83,0.00,0.69,1.02,2.38,0.95,1.50,2.81,2.66
13,2.68,1.67,0.88,2.48,1.44,1.51,1.42,1.47,1.31,2.74,0.91,2.41,0.69,0.00,1.68,2.85,1.58,1.82,3.09,3.33
14,1.45,1.51,1.39,1.25,0.24,0.40,0.80,1.01,1.00,1.18,2.45,0.90,1.02,1.68,0.00,1.60,0.87,1.19,2.31,1.65
15,2.66,1.51,2.10,0.37,1.75,2.00,2.40,1.41,2.59,0.74,3.30,0.77,2.38,2.85,1.60,0.00,2.46,1.12,1.00,1.59
16,1.10,2.19,1.76,2.12,0.80,0.48,0.17,1.70,0.31,1.96,2.48,1.73,0.95,1.58,0.87,2.46,0.00,1.97,3.17,2.13
17,2.62,0.45,1.00,0.81,1.18,1.50,1.84,0.36,1.96,1.36,2.18,1.07,1.50,1.82,1.19,1.12,1.97,0.00,1.31,2.25
18,3.57,1.44,2.21,1.15,2.38,2.69,3.07,1.67,3.22,1.73,3.26,1.67,2.81,3.09,2.31,1.00,3.17,1.31,0.00,2.59
19,1.62,2.69,2.92,1.59,1.89,1.89,2.19,2.32,2.41,0.93,4.07,1.17,2.66,3.33,1.65,1.59,2.13,2.25,2.59,0.00
